proper,ra,dec,mag,hip
Adhara,6.977097,-28.972084,1.5,33579
Nganurganity,7.028652,-27.93483,3.49,33856
,7.050409,-23.833291,3.02,33977
Wezen,7.139857,-26.3932,1.83,34444
,7.145788,-70.498932,3.78,34481
,7.280508,-67.957152,3.97,35228
,7.285711,-37.09747,2.71,35264
,7.30155,16.540383,3.58,35350
Wasat,7.335383,21.98232,3.5,35550
Aludra,7.401584,-29.303104,2.45,35904
,7.428779,27.79808,3.78,36046
Gomeisa,7.452512,8.289315,2.89,36188
,7.487179,-43.301432,3.25,36377
Castor,7.576634,31.888276,1.58,36850
,7.647186,-26.803836,3.8,37229
Procyon,7.655033,5.224993,0.4,37279
,7.687454,-9.551131,3.94,37447
,7.697004,-72.606098,3.93,37504
,7.73013,-28.954826,3.94,37677
,7.740793,24.397993,3.57,37740
,7.754249,-37.968584,3.62,37819
Pollux,7.755277,28.026199,1.16,37826
Azmidi,7.821571,-24.859786,3.34,38170
,7.870288,-40.575786,3.71,38414
,7.946313,-52.98236,3.46,38827
Naos,8.059737,-40.003148,2.21,39429
Tureis,8.125737,-24.304324,2.83,39757
,8.158876,-47.336588,1.75,39953
Tarf,8.275256,9.185545,3.53,40526
Avior,8.375236,-59.509483,1.86,41037
,8.427676,-3.906424,3.91,41307
,8.428951,-66.13689,3.77,41312
Muscida,8.504431,60.718169,3.35,41704
,8.668373,-35.308352,3.97,42515
,8.671554,-52.921887,3.6,42536
,8.677103,-46.648744,3.77,42570
,8.726539,-33.186385,3.68,42828
Asellus Australis,8.74475,18.154309,3.94,42911
Alsephina,8.745059,-54.708821,1.93,42913
,8.767124,-46.041527,3.87,43023
Ashlesha,8.779587,6.418809,3.38,43109
,8.917457,-60.644609,3.84,43783
,8.92323,5.945563,3.11,43813
Talitha,8.986828,48.041826,3.12,44127
,9.010685,41.782911,3.96,44248
Alkaphrah,9.060427,47.156525,3.57,44471
,9.069248,-47.097737,3.75,44511
Suhail,9.133268,-43.432589,2.23,44816
,9.182804,-58.966896,3.43,45080
,9.187985,-62.316977,3.96,45101
Miaplacidus,9.220041,-69.717208,1.67,45238
,9.239405,2.31428,3.89,45336
Aspidiske,9.284838,-59.275229,2.21,45556
,9.314069,36.802597,3.82,45688
,9.350925,34.392562,3.14,45860
Markeb,9.368562,-55.010668,2.47,45941
Alphard,9.45979,-8.658603,1.99,46390
,9.511674,-40.466769,3.6,46651
,9.520371,-57.034377,3.16,46701
,9.525453,63.061861,3.65,46733
,9.547715,51.6773,3.17,46853
Ukdah,9.664267,-1.14281,3.9,47431
Subra,9.685843,9.892308,3.52,47508
,9.754117,-62.507903,3.69,47854
Ras Elased Australis,9.764188,23.774255,2.97,47908
,9.785036,-65.072007,2.92,48002
,9.849867,59.038735,3.78,48319
Rasalas,9.879398,26.006951,3.88,48455
,9.947708,-54.56779,3.52,48774
,10.122209,16.762664,3.48,49583
Regulus,10.139532,11.967207,1.36,49669
,10.176467,-12.354083,3.61,49841
,10.228961,-70.037903,3.29,50099
,10.245607,-42.121942,3.85,50191
Adhafera,10.278171,23.417311,3.43,50335
,10.28472,-61.332304,3.39,50371
Tania Borealis,10.284952,42.914365,3.45,50372
Algieba,10.332873,19.841489,2.01,50583
Tania Australis,10.372155,41.499516,3.06,50801
,10.406592,-74.031612,3.99,50954
,10.434842,-16.83629,3.83,51069
,10.464649,-58.739403,3.81,51232
,10.533743,-61.685332,3.3,51576
Shaomin,10.546853,9.306586,3.84,51624
,10.621717,-48.22562,3.84,51986
,10.715949,-64.39445,2.74,52419
,10.779488,-49.420255,2.69,52727
,10.827079,-16.193648,3.11,52943
Praecipua,10.888526,34.214871,3.79,53229
,10.891559,-58.853171,3.78,53253
Merak,11.030677,56.382427,2.34,53910
Dubhe,11.062155,61.751033,1.81,54061
,11.143165,-58.975037,3.93,54463
,11.161062,44.498487,3.0,54539
Zosma,11.235138,20.523717,2.56,54872
Chertan,11.237335,15.42957,3.33,54879
Alula Borealis,11.307983,33.094306,3.49,55219
,11.322347,-14.778541,3.56,55282
,11.350117,-54.491019,3.9,55425
Giausar,11.523407,69.331076,3.82,56211
,11.550038,-31.857625,3.54,56343
,11.596363,-63.019841,3.11,56561
